estado,municipio,clave_marco_geoestadistico,url_consulta
Chihuahua,Santa Bárbara,08060,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=407274.535544134,2949219.71019963,435601.023381896,2979382.41012855&edoMun=08060"
Chihuahua,Satevó,08061,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=338773.949798425,3028751.20414934,427431.332192937,3113525.4807923&edoMun=08061"
Chihuahua,Saucillo,08062,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=418845.699977608,3062147.85410033,517829.749887202,3135095.34365372&edoMun=08062"
Chihuahua,Temósachic,08063,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=736946.044757838,3132206.29738187,834043.028405139,3241653.67465115&edoMun=08063"
Chihuahua,El Tule,08064,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=347466.202983284,2972721.71208098,388990.478591327,3005190.88081481&edoMun=08064"
Chihuahua,Urique,08065,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=159878.076557705,2969983.20410743,241187.29252121,3058770.63690497&edoMun=08065"
Chihuahua,Uruachi,08066,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=699533.11643503,3053858.76009954,792222.448507015,3109417.07571459&edoMun=08066"
Chihuahua,Valle de Zaragoza,08067,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=378948.840612105,3012000.42947623,460657.466492263,3067925.89657178&edoMun=08067"
Ciudad de México,Azcapotzalco,09002,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32614&LAYERS=lotificacion&BBOX=476791.807595463,2151347.12159001,484990.436275325,2157833.96706739&edoMun=09002"
Ciudad de México,Coyoacán,09003,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32614&LAYERS=lotificacion&BBOX=478383.258415849,2133685.1472075,489594.832881814,2140616.64507698&edoMun=09003"
Ciudad de México,Cuajimalpa de Morelos,09004,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32614&LAYERS=lotificacion&BBOX=461645.237206188,2126600.87800247,474094.434248519,2145642.51032147&edoMun=09004"
Ciudad de México,Gustavo A. Madero,09005,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32614&LAYERS=lotificacion&BBOX=481416.001744737,2150053.28947591,494665.345544203,2166417.64846423&edoMun=09005"
Ciudad de México,Iztacalco,09006,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32614&LAYERS=lotificacion&BBOX=485594.277974307,2142404.34298705,494143.445517804,2147548.78184908&edoMun=09006"
Ciudad de México,Iztapalapa,09007,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32614&LAYERS=lotificacion&BBOX=485301.422609193,2132363.60132488,504152.751131735,2145169.43054588&edoMun=09007"
